version,classpath,features,nsmells,BUGGY
"1.0.0","src/java/org/apache/avro/util/Utf8.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificResponder.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificRequestor.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificRecordBase.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificRecord.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificFixed.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificExceptionBase.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificDatumWriter.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificDatumReader.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificCompiler.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/SchemaTask.java","","","NO"
"1.0.0","src/java/org/apache/avro/specific/ProtocolTask.java","","","NO"
"1.0.0","src/java/org/apache/avro/reflect/ReflectResponder.java","","","NO"
"1.0.0","src/java/org/apache/avro/reflect/ReflectRequestor.java","","","NO"
"1.0.0","src/java/org/apache/avro/reflect/ReflectDatumWriter.java","","","NO"
"1.0.0","src/java/org/apache/avro/reflect/ReflectDatumReader.java","","","NO"
"1.0.0","src/java/org/apache/avro/reflect/ReflectData.java","","","NO"
"1.0.0","src/java/org/apache/avro/reflect/FixedSize.java","","","NO"
"1.0.0","src/java/org/apache/avro/ipc/Transceiver.java","","","NO"
"1.0.0","src/java/org/apache/avro/ipc/SocketTransceiver.java","","","NO"
"1.0.0","src/java/org/apache/avro/ipc/SocketServer.java","","","NO"
"1.0.0","src/java/org/apache/avro/ipc/Responder.java","","","NO"
"1.0.0","src/java/org/apache/avro/ipc/Requestor.java","","","NO"
"1.0.0","src/java/org/apache/avro/ipc/ByteBufferOutputStream.java","","","NO"
"1.0.0","src/java/org/apache/avro/ipc/ByteBufferInputStream.java","","","NO"
"1.0.0","src/java/org/apache/avro/ipc/AvroRemoteException.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/ValidatingEncoder.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/ValidatingDecoder.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/ResolvingTable.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/ResolvingDecoder.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/ParsingTable.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/Encoder.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/Decoder.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/DatumWriter.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/DatumReader.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/BlockingBinaryEncoder.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/BinaryEncoder.java","","","NO"
"1.0.0","src/java/org/apache/avro/io/BinaryDecoder.java","","","NO"
"1.0.0","src/java/org/apache/avro/generic/GenericResponder.java","","","NO"
"1.0.0","src/java/org/apache/avro/generic/GenericRequestor.java","","","NO"
"1.0.0","src/java/org/apache/avro/generic/GenericRecord.java","","","NO"
"1.0.0","src/java/org/apache/avro/generic/GenericFixed.java","","","NO"
"1.0.0","src/java/org/apache/avro/generic/GenericDatumWriter.java","","","NO"
"1.0.0","src/java/org/apache/avro/generic/GenericDatumReader.java","","","NO"
"1.0.0","src/java/org/apache/avro/generic/GenericData.java","","","NO"
"1.0.0","src/java/org/apache/avro/generic/GenericArray.java","","","NO"
"1.0.0","src/java/org/apache/avro/file/SeekableInput.java","","","NO"
"1.0.0","src/java/org/apache/avro/file/SeekableFileInput.java","","","NO"
"1.0.0","src/java/org/apache/avro/file/DataFileWriter.java","","","NO"
"1.0.0","src/java/org/apache/avro/file/DataFileReader.java","","","NO"
"1.0.0","src/java/org/apache/avro/SchemaParseException.java","","","NO"
"1.0.0","src/java/org/apache/avro/Schema.java","","","NO"
"1.0.0","src/java/org/apache/avro/Protocol.java","","","NO"
"1.0.0","src/java/org/apache/avro/AvroTypeException.java","","","NO"
"1.0.0","src/java/org/apache/avro/AvroRuntimeException.java","","","NO"
"1.1.0","src/java/org/apache/avro/util/Utf8.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SpecificResponder.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SpecificRequestor.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SpecificRecordBase.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SpecificRecord.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SpecificFixed.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SpecificExceptionBase.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SpecificDatumWriter.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SpecificDatumReader.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SpecificData.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SpecificCompiler.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/SchemaTask.java","","","NO"
"1.1.0","src/java/org/apache/avro/specific/ProtocolTask.java","","","NO"
"1.1.0","src/java/org/apache/avro/reflect/ReflectResponder.java","","","NO"
"1.1.0","src/java/org/apache/avro/reflect/ReflectRequestor.java","","","NO"
"1.1.0","src/java/org/apache/avro/reflect/ReflectDatumWriter.java","","","NO"
"1.1.0","src/java/org/apache/avro/reflect/ReflectDatumReader.java","","","NO"
"1.1.0","src/java/org/apache/avro/reflect/ReflectData.java","","","NO"
"1.1.0","src/java/org/apache/avro/reflect/FixedSize.java","","","NO"
"1.1.0","src/java/org/apache/avro/ipc/Transceiver.java","","","NO"
