Variable,Dataset,DatasetB,DatasetC,Nsmells,Defectiveness
Size,1842,1056,786,,0.148751
LOC,0.596855,0.824991,0.290353,0.622798*,0.308149*
LOC_TOUCHED,0.257684,0.130395,0.428698,-0.084482*,0.191651*
REVS,0.431899,0.358001,0.531183,-0.082069*,0.164303*
FIXES,0.473597,0.662394,0.219946,0.320107*,0.193074*
AUTH,0.535921,0.472202,0.621528,-0.068303*,0.130434*
LOC_ADDED,0.266106,0.118928,0.463843,-0.087927*,0.189192*
MAX_LOC_ADDED,0.279961,0.127663,0.484575,-0.088259*,0.186757*
AVG_LOC_ADDED,0.261313,0.101604,0.475883,-0.089744*,0.183926*
CHURN,0.246591,0.086411,0.461795,-0.086229*,0.184983*
MAX_CHURN,0.275617,0.111544,0.496052,-0.085839*,0.183426*
AVG_CHURN,0.255004,0.082049,0.48737,-0.087893*,0.181178*
CHANGE_SET_SIZE,0.872472,0.900184,0.835242,0.116112*,0.06004*
MAX_CHANGE_SET,0.924369,0.957108,0.880384,0.054531*,-0.074616*
AVG_CHANGE_SET,0.88221,0.849349,0.926358,-0.184677*,-0.330819*
AGE,0.901725,0.904424,0.898098,0.020955,0.018208
WEIGHTED_AGE,0.901636,0.886923,0.921402,-0.04062,-0.003472
COMMENT_LINES,0.698194,0.7968,0.565715,0.419654*,0.141717*
NESTING_DEPTH,0.620929,0.827353,0.343595,0.579171*,0.256575*
DECISION_POINTS,0.44334,0.660025,0.152221,0.651785*,0.300309*
nsmells,0.316385,0,0,-,0.221196*
DISTINCT_SMELL_TYPES,0.560047,0,0,0.972804*,0.195539*
