Dataset,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa
Avro,NaiveBayes,No,No,0.398779,0.310622,0.824232,0.249242
Avro,NaiveBayes,No,Resample,0.420953,0.375556,0.841210,0.295458
Avro,NaiveBayes,Yes,No,0.786865,0.448307,0.913265,0.510126
Avro,NaiveBayes,Yes,Resample,0.565388,0.794511,0.915490,0.582606
Avro,IBk,No,No,0.634263,0.596468,0.773809,0.544615
Avro,IBk,No,Resample,0.548416,0.648638,0.781163,0.512816
Avro,IBk,Yes,No,0.765446,0.767632,0.872188,0.721366
Avro,IBk,Yes,Resample,0.672341,0.803836,0.874529,0.677295
Avro,RandomForest,No,No,0.845650,0.640939,0.947804,0.685478
Avro,RandomForest,No,Resample,0.660036,0.833968,0.940631,0.682214
Avro,RandomForest,Yes,No,0.778415,0.733201,0.940365,0.710349
Avro,RandomForest,Yes,Resample,0.656700,0.836164,0.940384,0.680443
