classpath,LOC,LOC_TOUCHED,REVS,FIXES,AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE,WEIGHTED_AGE,COMMENT_LINES,DISTINCT_SMELL_TYPES,NESTING_DEPTH,DECISION_POINTS,SONAR_SMELLS,PMD_SMELLS
org/apache/avro/Schema.java,1673,7759,152,130,40,5024,696,33.052632,3939,451,25.914474,5616,1313,36.947368,6256,3982.753190,364,13,9,224,94,150
saves/Schema_C1.java,1739,7759,152,130,40,5024,696,33.052632,3939,451,25.914474,5616,1313,36.947368,6256,3982.753190,363,8,3,223,5,141
saves/Schema_C2.java,1699,7759,152,130,40,5024,696,33.052632,3939,451,25.914474,5616,1313,36.947368,6256,3982.753190,364,13,9,224,1,149
saves/Schema_C3.java,1706,7759,152,130,40,5024,696,33.052632,3939,451,25.914474,5616,1313,36.947368,6256,3982.753190,364,9,9,223,0,141
saves/Schema_C4.java,1742,7759,152,130,40,5024,696,33.052632,3939,451,25.914474,5616,1313,36.947368,6258,3984.753190,333,10,9,220,3,149
org/apache/avro/file/DataFileWriter.java,306,1802,52,45,15,1158,183,22.269231,1008,183,19.384615,4804,1313,92.384615,6256,5055.879578,157,4,2,20,3,6
saves/DataFileWriter_C1.java,306,1802,52,45,15,1158,183,22.269231,1008,183,19.384615,4804,1313,92.384615,6258,5057.879578,157,3,2,20,0,5
saves/DataFileWriter_C2.java,306,1802,52,45,15,1158,183,22.269231,1008,183,19.384615,4804,1313,92.384615,6258,5057.879578,157,3,2,20,0,5
saves/DataFileWriter_C3.java,306,1802,52,45,15,1158,183,22.269231,1008,183,19.384615,4804,1313,92.384615,6258,5057.879578,157,3,2,20,0,5
saves/DataFileWriter_C4.java,310,1802,52,45,15,1158,183,22.269231,1008,183,19.384615,4804,1313,92.384615,6258,5057.879578,157,3,2,20,0,5
