version,classpath,LOC,LOC_TOUCHED,REVS,FIXES,AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE,WEIGHTED_AGE,COMMENT_LINES,NESTING_DEPTH,DECISION_POINTS,nsmells,DISTINCT_SMELL_TYPES,BUGGY
"1.0.0","src/java/org/apache/avro/util/Utf8.java",51,240,3,0,1,160,80,53.333333,240,80,80.000000,220,110,73.333333,396,396.000000,18,2,9,"0",0,"NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificResponder.java",17,151,4,0,1,96,46,24.000000,143,46,35.750000,246,110,61.500000,396,390.834437,18,0,0,"0",0,"YES"
"1.0.0","src/java/org/apache/avro/specific/SpecificRequestor.java",30,174,4,0,1,115,53,28.750000,162,53,40.500000,240,110,60.000000,396,395.568966,19,0,0,"0",0,"YES"
"1.0.0","src/java/org/apache/avro/specific/SpecificRecordBase.java",37,64,1,0,1,64,64,64.000000,64,64,64.000000,5,5,5.000000,342,342.000000,18,3,8,"0",0,"NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificRecord.java",7,92,4,0,1,60,30,15.000000,92,30,23.000000,246,110,61.500000,396,394.695652,19,0,0,"0",0,"NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificFixed.java",8,102,5,0,1,65,28,13.000000,84,28,16.800000,244,110,48.800000,396,390.647059,18,0,0,"0",0,"NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificExceptionBase.java",15,116,4,0,1,78,30,19.500000,100,30,25.000000,225,110,56.250000,396,383.896552,18,0,0,"0",0,"NO"
"1.0.0","src/java/org/apache/avro/specific/SpecificDatumWriter.java",13,154,6,0,1,95,43,15.833333,136,43,22.666667,271,110,45.166667,396,393.759740,18,0,0,"0",0,"YES"
"1.0.0","src/java/org/apache/avro/specific/SpecificDatumReader.java",24,558,8,0,1,303,125,37.875000,504,125,63.000000,297,110,37.125000,396,391.930108,18,0,0,"0",0,"YES"
"1.0.0","src/java/org/apache/avro/specific/SpecificCompiler.java",212,781,12,0,1,525,225,43.750000,725,225,60.416667,350,110,29.166667,396,392.770807,32,4,51,"0",0,"YES"
"1.0.0","src/java/org/apache/avro/specific/SchemaTask.java",8,90,4,0,1,59,28,14.750000,84,28,21.000000,224,110,56.000000,396,395.666667,18,0,0,"0",0,"NO"
"1.0.0","src/java/org/apache/avro/specific/ProtocolTask.java",72,287,4,0,1,196,84,49.000000,273,84,68.250000,224,110,56.000000,396,395.390244,22,3,9,"0",0,"NO"
"1.0.0","src/java/org/apache/avro/reflect/ReflectResponder.java",88,400,8,0,1,262,118,32.750000,362,118,45.250000,336,110,42.000000,396,393.180000,21,2,21,"0",0,"YES"
"1.0.0","src/java/org/apache/avro/reflect/ReflectRequestor.java",54,263,5,0,1,174,77,34.800000,239,77,47.800000,263,110,52.600000,396,392.730038,19,1,1,"0",0,"NO"
"1.0.0","src/java/org/apache/avro/reflect/ReflectDatumWriter.java",39,248,8,0,1,158,61,19.750000,214,61,26.750000,321,110,40.125000,396,392.068548,18,1,2,"0",0,"YES"
